method	Ar	Bn	En	Fi	Id	Ja	Ko	Ru	Sw	Te	Th
BM25	0.307	0.294	0.099	0.193	0.310	0.126	0.141	0.205	0.312	0.150	0.302
BM25-tuned	0.323	0.337	0.103	0.196	0.305	0.184	0.176	0.238	0.319	0.276	0.334
mDPR 	0.176	0.107	0.095	0.085	0.126	0.049	0.074	0.075	0.05	0.036	0.065
hybrid	0.444	0.373	0.186	0.268	0.358	0.212	0.224	0.277	0.321	0.279	0.382
