method	Ar	Bn	En	Fi	In	Ja	Ko	Ru	Sw	Te	Th
BM25	0.402	0.479	0.261	0.327	0.413	0.236	0.315	0.381	0.428	0.349	0.600
BM25-tuned	0.405	0.502	0.271	0.330	0.425	0.260	0.321	0.396	0.439	0.445	0.613
mDPR	0.305	0.333	0.234	0.163	0.196	0.179	0.240	0.217	0.097	0.157	0.461
hybrid	0.555	0.572	0.394	0.411	0.502	0.312	0.415	0.468	0.447	0.470	0.668
