method	Ar	Bn	En	Fi	Id	Ja	Ko	Ru	Sw	Te	Th
BM25	0.368	0.418	0.140	0.284	0.376	0.211	0.285	0.313	0.389	0.343	0.401
BM25-tuned	0.367	0.413	0.151	0.288	0.382	0.217	0.281	0.329	0.396	0.424	0.417
mDPR	0.260	0.258	0.162	0.113	0.146	0.181	0.219	0.185	0.073	0.106	0.135
hybrid	0.491	0.535	0.284	0.365	0.455	0.355	0.362	0.427	0.405	0.420	0.492
